시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
화성시,신리고,,233000374,55465.0,,,,37.1818,127.1224667
화성시,신리앞,Sin-ri,233001823,37862.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1632167,126.9780333
화성시,신리앞,Sin-ri,233001818,37859.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1631167,126.9773667
화성시,신리입구,Sin-ri,233003050,,노변정류장,경기도 화성시,,37.1799333,127.1242667
화성시,신리입구,Dongtan New Town 2 Block A 66,233003045,,노변정류장,경기도 화성시,,37.18035,127.1241833
화성시,신리천,Sinricheon ,233002364,36704.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1830667,127.0928667
화성시,신리천,,233001851,55510.0,,,,37.1833333,127.1107
화성시,신리천,Sinricheon,233002363,55258.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1818167,127.0924667
화성시,신리천리베라마을,,233001813,55508.0,,,,37.1858,127.10235
화성시,신명스카이뷰,"Sinmyeong SKYVIEW, Humansia 5-danji",233002020,37994.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1281,126.9149
화성시,신명스카이뷰.우미린,"Skyview, Woomi Lynn Apartment ",233001857,37900.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1277,126.9151167
화성시,신명스카이뷰.휴먼시아5단지,"Sinmyeong SKYVIEW, Humansia 5-danji",233002021,37996.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1261333,126.9159167
화성시,신명스카이뷰.휴먼시아5단지,"Sinmyeong SKYVIEW, Humansia 5-danji",233001856,37899.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1263167,126.9159
화성시,신명아파트,Sinmyeong Apartment ,233002754,,노변정류장,경기도 화성시,,37.2131167,126.9740833
화성시,신명아파트,Sinmyeong Apartment,233002255,55246.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.21355,126.97335
화성시,신명아파트,Sinmyeong Apartment ,233002753,,노변정류장,경기도 화성시,,37.2131333,126.9739
화성시,신미주아파트,Sinmiju Apartment ,233001648,36993.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1928667,127.0925333
화성시,신미주아파트,Sinmiju Apartment ,233002722,,노변정류장,경기도 화성시,,37.2199833,126.9893
화성시,신미주아파트,Sinmiju Apartment,233001664,37727.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.2089333,127.0494667
화성시,신미주아파트,Sinmiju Apartment ,233001504,36737.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1894167,127.0904
화성시,신미주아파트,Sinmiju Apartment ,233001665,37705.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.20895,127.0501
화성시,신미주아파트,Sinmiju Apartment ,233001649,37965.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.193,127.0928833
화성시,신미주아파트.주공6단지,"Sinmiju Apartment, Jugong Apartment 6-danji",233000106,36386.0,노변정류장,경기도 화성시,경기도 화성시 기산동,37.2144167,127.05175
화성시,신미주아파트남문.예일유치원,"Sinmiju Apartment South Gate, Yeil Kindergarten ",233002720,,노변정류장,경기도 화성시,,37.22055,126.9865833
화성시,신미주아파트남문.예일유치원,"Sinmiju Apartment South Gate, Yeil Kindergarten ",233002721,,노변정류장,경기도 화성시,,37.2203833,126.9870667
화성시,신미주아파트앞,Sinmiju Apartment ,233000109,36710.0,노변정류장,경기도 화성시,경기도 화성시 기산동,37.2146333,127.0517833
화성시,신미주아파트후문,Sinmiju Apartment Back Gate,233002719,,노변정류장,경기도 화성시,,37.22265,126.9853667
화성시,신미주아파트후문,Sinmiju Apartment Back Gate,233002718,,노변정류장,경기도 화성시,,37.2227333,126.9851333
화성시,신성미소지움아파트,Shinsung Misozium Apartment ,233001865,37906.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.13925,126.9145
화성시,신성미소지움아파트,Shinsung Misozium Apartment ,233001863,37905.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.13875,126.9136333
화성시,신안인스빌,,233515980,,,,,37.2171167,126.9485167
화성시,신안인스빌2차,Shinhan Ensvil Aparmtent 2-cha,233000129,36460.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.2000167,127.1159667
화성시,신영지웰,Sinyoung G-well,233002104,55080.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1278,126.9210167
화성시,신영지웰2차아파트,Shinyoung G Well Apartment 2-cha,233001859,37902.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1297167,126.9195833
화성시,신영지웰2차아파트,Shinyoung G Well Apartment 2-cha,233002018,37992.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1299,126.9194833
화성시,신영지웰아파트,Sinyoung G-well Apartment ,233002023,37999.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1258667,126.9217167
화성시,신영지웰아파트,Sinyoung G-well Apartment ,233001988,37978.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.12605,126.9217
화성시,신영통현대아파트1단지,Sinyeongtong Hyundai Apartment 1-danji,233002668,,노변정류장,경기도 화성시,,37.2347,127.0612
화성시,신영통현대아파트1단지,Sinyeongtong Hyundai Apartment 1-danji,233002667,,노변정류장,경기도 화성시,,37.2350833,127.0611667
화성시,신영통현대타운,,233531510,,,,,37.2322667,127.0568833
화성시,신영통현대타운.두산위브,"Sinyeongtong Hyundai Town, Doosan Weve ",233000118,36393.0,노변정류장,경기도 화성시,경기도 화성시 반월동,37.2354667,127.0624667
화성시,신영통현대타운.두산위브,"Sinyeongtong Hyundai Town, Doosan Weve ",233000117,36512.0,노변정류장,경기도 화성시,경기도 화성시 반월동,37.2353333,127.0621
화성시,신왕2리.독줄입구,"Sinwang 2-ri, Dokjul ",233001098,36133.0,노변정류장,경기도 화성시,경기도 화성시 양감면,37.0776167,126.9540833
화성시,신왕2리마을회관,Sinwang 2-ri Community Center,233001790,37858.0,노변정류장,경기도 화성시,경기도 화성시 양감면,37.0722333,126.9498
화성시,신왕3리.양감초등학교,"Sinwang 3-ri, ",233000025,36127.0,노변정류장,경기도 화성시,경기도 화성시 양감면,37.0801,126.9523667
