ars,emd_cd,sttn_nm
37216,4159134035,매곡리
37217,4159134035,매곡리
37218,4159331025,야목1리
37219,4159510300,능동지성로사거리
37220,4159133030,고잔앞들
37221,4159133030,고잔앞들
37222,4159125329,백토2리
37223,4159134025,구장사거리.공구상가
37224,4159125323,한국폴리텍대학
37225,4159125323,한국폴리텍대학
37226,4159332027,청요리
37227,4159332027,청요2리
37228,4159134025,구장삼거리
37229,4159134025,구장삼거리
37230,4159125323,제암리
37231,4159125323,제암리
37232,4159332027,청요리
37233,4159332027,청요1리
37234,4159134029,지월리입구
37235,4159134029,지월리입구
37237,4159331024,숙곡리천불사
37238,4159331024,숙곡리천불사
37239,4159711500,반도8차
37240,4159134029,수목원
37241,4159134025,구장리새터말입구
37242,4159134029,수목원
37244,4159125329,백토2리
37245,4159125322,주공아파트
37246,4159332026,쌍학리
37247,4159325036,기천저수지
37248,4159125322,동양빌딩앞
37249,4159325036,기천저수지
37250,4159125322,우림아파트.화성노인회관
37251,4159134025,팔탄초등학교
37252,4159134025,팔탄초등학교
37253,4159134025,팔탄면행정복지센터
37254,4159134025,팔탄면행정복지센터
37255,4159125341,화성중고등학교
37256,4159125341,화성중고등학교
37257,4159134025,소동촌
37258,4159133021,전곡산업단지
37263,4159331023,매송면행정복지센터
37264,4159331023,매송면행정복지센터
37265,4159125321,발안농협
37266,4159125336,효원납골공원
37268,4159125321,발안사거리.평리
37269,4159125321,화성중앙병원.발안초등학교
37270,4159125341,장짐교차로
37271,4159125341,장짐교차로.축산농협
37273,4159125341,장짐교차로
37274,4159125326,하길중학교
37275,4159331023,매송농협
37276,4159331025,야목교차로
37277,4159125339,발안기업은행
37278,4159332021,비봉우체국
37279,4159332021,비봉우체국
37280,4159125340,방축리
37281,4159125340,방축리
37282,4159134024,가재4리.해병대보급중대
37283,4159125326,향남주공2단지
37284,4159125326,향남주공2단지
