route_id,seq,station_id,updown,acc_m
208000014,10,225000247,F,4150.0
208000014,11,225000258,F,4780.0
208000014,12,225000261,F,5030.0
208000014,13,225000263,F,5270.0
208000014,14,225000120,F,5810.0
208000014,15,225000119,F,6040.0
208000014,16,225000021,F,6360.0
208000014,17,225000032,F,6610.0
208000014,18,225000118,F,6840.0
208000014,19,225000117,F,7160.0
208000014,20,225000058,F,7510.0
208000014,21,225000014,F,8020.0
208000014,22,225000013,F,8630.0
208000014,23,225000012,F,8910.0
208000014,24,225000011,F,9370.0
208000014,25,225000126,F,9630.0
208000014,26,225000125,F,9900.0
208000014,27,208000081,F,10210.0
208000014,28,208000080,F,10740.0
208000014,29,208000004,F,11040.0
208000014,30,208000003,F,11430.0
208000014,31,208000002,F,11810.0
208000014,32,208000001,F,12280.0
208000014,33,208000066,F,12610.0
208000014,34,208000065,F,12990.0
208000014,35,208000064,F,13310.0
208000014,36,208000105,F,13650.0
208000014,37,208000104,F,14030.0
208000014,38,208000020,F,14580.0
208000014,39,208000019,F,15070.0
208000014,40,208000042,F,15540.0
208000014,41,208000041,F,16050.0
208000014,42,208000018,F,16390.0
208000014,43,208000017,F,16650.0
208000014,44,208000016,F,16820.0
208000014,45,208000015,F,17230.0
208000014,46,208000028,F,17840.0
208000014,47,117000053,F,19550.0
208000014,48,117000051,F,20380.0
208000019,1,208000236,F,
208000019,2,208000110,F,150.0
208000019,3,208000109,F,330.0
208000019,4,208000108,F,590.0
208000019,5,208000107,F,690.0
208000019,6,208000106,F,900.0
208000019,7,208000208,F,1110.0
208000019,8,208000074,F,1580.0
208000019,9,208000073,F,1900.0
208000019,10,208000205,F,2340.0
208000019,11,208000204,F,2700.0
208000019,12,208000158,F,3120.0
208000019,13,208000157,F,3390.0
208000019,14,208000156,F,3800.0
208000019,15,208000095,F,4180.0
208000019,16,209000044,F,4860.0
208000019,17,209000043,F,5210.0
208000019,18,209000042,F,5420.0
208000019,19,209000041,F,5760.0
208000019,20,209000040,F,6310.0
208000019,21,209000039,F,6610.0
208000019,22,209000038,F,6940.0
208000019,23,209000037,F,7460.0
208000019,24,209000036,F,7920.0
208000019,25,209000035,F,8310.0
208000019,26,209000034,F,8710.0
208000019,27,220000092,F,9720.0
208000019,28,220000028,F,10330.0
208000019,29,220000027,F,10600.0
208000019,30,220000031,F,11180.0
208000019,31,220000026,F,11470.0
208000019,32,220000025,F,12030.0
208000019,33,220000024,F,12340.0
208000019,34,220000023,F,12720.0
208000019,35,220000022,F,13270.0
208000019,36,220000021,F,13670.0
208000019,37,220000020,F,14900.0
208000019,38,220000001,F,15940.0
208000019,39,120000671,F,16860.0
208000019,40,121001315,B,17970.0
208000019,41,119000302,B,18870.0
208000019,42,119000048,B,19300.0
208000019,43,119000049,B,19760.0
208000019,44,120000002,B,20470.0
208000019,45,120000003,B,20840.0
208000019,46,120000004,B,21310.0
208000019,47,120000005,B,21870.0
208000019,48,120000006,B,22210.0
208000019,49,120000007,B,22550.0
208000019,50,120000008,B,23140.0
208000019,51,120000159,B,23510.0
208000019,52,120000421,B,23950.0
208000019,53,120000010,B,24490.0
208000019,54,120000011,B,24830.0
208000019,55,120000012,B,25100.0
208000019,56,120000013,B,25480.0
208000019,57,120000014,B,25780.0
208000019,58,120000015,B,26030.0
208000019,59,117000002,B,27540.0
208000019,60,117000004,B,27970.0
208000019,61,117000006,B,28560.0
208000019,62,117000008,B,29360.0
